,0
0,256
1,64
2,16
3,64
4,64
5,32
6,256
7,64
8,64
9,64
10,256
11,128
12,64
13,128
14,128
15,128
16,64
17,64
18,128
19,32
20,64
21,64
22,64
23,32
24,128
25,128
26,128
27,64
28,128
29,32
30,32
31,256
32,128
33,64
34,128
35,64
36,128
37,256
38,64
39,128
40,64
41,128
42,64
43,32
44,64
45,64
46,128
47,128
48,64
49,32
50,64
51,64
52,128
53,32
54,32
55,128
56,16
57,256
58,64
59,64
60,128
61,128
62,128
63,64
64,64
65,64
66,128
67,128
68,64
69,128
70,32
71,32
72,64
73,32
74,128
75,128
76,64
77,128
78,64
79,32
80,128
81,64
82,64
83,32
84,64
85,32
86,32
87,64
88,128
89,128
90,128
91,128
92,128
93,64
94,128
95,64
96,64
97,128
98,128
99,64
100,128
101,64
102,128
103,128
104,256
105,128
106,64
107,64
108,64
109,128
110,64
111,64
112,128
113,128
114,128
115,64
116,64
117,64
118,64
119,128
120,128
121,128
122,128
123,64
124,64
125,32
126,128
127,256
128,32
129,128
130,128
131,128
132,128
133,128
134,128
135,256
136,128
137,128
138,512
139,128
140,128
141,128
142,128
143,256
144,128
145,128
146,256
147,128
148,256
149,128
150,256
151,128
152,64
153,64
154,512
155,256
156,128
157,128
158,256
159,128
160,256
161,256
162,256
163,256
164,128
165,256
166,256
167,128
168,512
169,512
170,256
171,128
172,256
173,1024
174,512
175,256
176,256
177,512
178,256
179,128
180,512
181,256
182,256
183,256
184,512
185,256
186,512
187,256
188,512
189,512
190,256
191,512
192,512
193,512
194,512
195,256
196,256
197,512
198,256
199,256
200,512
201,512
202,512
203,256
204,512
205,512
206,512
207,512
208,256
209,512
210,128
211,512
212,512
213,512
214,512
215,512
216,512
217,512
218,512
219,512
220,512
221,512
222,512
223,128
224,512
225,1024
226,256
227,256
228,256
229,256
230,512
231,256
232,256
233,256
234,512
235,128
236,512
237,512
238,512
239,512
240,512
241,512
242,256
243,256
244,512
245,256
246,256
247,256
248,1024
249,1024
250,512
251,512
252,512
253,256
254,512
255,512
256,512
257,512
258,512
259,256
260,512
261,256
262,512
263,512
264,512
265,512
266,512
267,512
268,512
269,512
270,512
271,512
272,512
273,512
274,512
275,512
276,512
277,512
278,512
279,1024
280,512
281,512
282,1024
283,512
284,1024
285,512
286,512
287,512
