,0
0,2596
1,764
2,132
3,728
4,892
5,344
6,2500
7,524
8,620
9,616
10,2764
11,1448
12,592
13,1616
14,1464
15,1184
16,836
17,592
18,1260
19,500
20,868
21,460
22,888
23,292
24,1232
25,1528
26,1188
27,492
28,1004
29,432
30,496
31,2224
32,1152
33,840
34,1420
35,632
36,1328
37,2232
38,668
39,1040
40,660
41,1788
42,984
43,396
44,624
45,516
46,1420
47,1208
48,804
49,476
50,968
51,908
52,1588
53,512
54,580
55,1852
56,144
57,2232
58,704
59,600
60,1460
61,1388
62,1672
63,576
64,776
65,600
66,1300
67,1232
68,928
69,1240
70,444
71,488
72,1136
73,600
74,1332
75,1488
76,628
77,1232
78,580
79,396
80,1600
81,688
82,608
83,320
84,708
85,412
86,308
87,888
88,2008
89,1032
90,1024
91,1412
92,1448
93,1128
94,1344
95,728
96,564
97,1632
98,1240
99,1160
100,1068
101,616
102,1180
103,1208
104,2832
105,1088
106,784
107,800
108,940
109,1364
110,800
111,696
112,1548
113,1560
114,2080
115,952
116,792
117,876
118,776
119,1568
120,1908
121,1340
122,1608
123,1224
124,960
125,620
126,2140
127,3104
128,408
129,1580
130,1468
131,1124
132,1820
133,1472
134,1392
135,3768
136,1580
137,3428
138,6288
139,1480
140,1772
141,1044
142,1152
143,3544
144,1760
145,1820
146,3160
147,1776
148,2892
149,1760
150,3296
151,1728
152,664
153,756
154,5184
155,2856
156,3076
157,1796
158,3068
159,1680
160,3240
161,4000
162,2816
163,2732
164,2136
165,3048
166,3284
167,2040
168,4824
169,5596
170,2436
171,1784
172,4812
173,11556
174,5852
175,3912
176,3052
177,7544
178,2584
179,1088
180,6820
181,5024
182,3984
183,2568
184,5984
185,5596
186,7824
187,3452
188,7924
189,6556
190,4620
191,7204
192,6880
193,7784
194,7908
195,2752
196,4188
197,9220
198,3160
199,4940
200,8212
201,6988
202,6728
203,3412
204,7908
205,6240
206,7776
207,6316
208,3996
209,7792
210,1888
211,5484
212,7244
213,7440
214,7388
215,5020
216,5684
217,6268
218,6644
219,7404
220,6488
221,8136
222,5976
223,1844
224,5448
225,15076
226,3288
227,4084
228,4532
229,3760
230,9276
231,3908
232,3984
233,4932
234,7912
235,1640
236,6620
237,8024
238,4780
239,5304
240,6092
241,7860
242,4460
243,2808
